nohup: ignoring input
2025-01-07T15:39:16 (svs.sh:211:main) ./svs.sh --lang zh --local_data_opts --stage 1 --feats_type raw --fs 24000 --fmax 22050 --fmin 0 --n_fft 2048 --n_shift 256 --win_length 2048 --token_type phn --g2p None --cleaner none --train_config conf/train.yaml --inference_config conf/decode.yaml --train_set tr_no_dev --valid_set dev --test_sets dev eval --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --audio_format wav --stage 8 --stop_stage 10 --svs_task gan_svs --pitch_extract dio --feats_extract fbank --feats_normalize none --train_config conf/train.yaml --score_feats_extract syllable_score_feats --inference_model latest.pth --write_collected_feats true
2025-01-07T15:39:17 (svs.sh:1070:main) Stage 8: Scoring
2025-01-07T15:39:17 (svs.sh:1081:main) Begin Scoring for MCD metrics on dev, results are written under exp/svs_train_raw_phn_None_zh/decode_latest/dev/MCD_res
2025-01-07 15:40:24,862 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0007 0.2645
2025-01-07 15:40:26,253 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0000 0.1406
2025-01-07 15:40:26,607 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0001 0.0954
2025-01-07 15:40:28,834 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0002 0.1583
2025-01-07 15:40:28,925 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0004 0.1796
2025-01-07 15:40:29,296 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0006 0.1166
2025-01-07 15:40:30,962 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0010 0.1505
2025-01-07 15:40:31,702 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0005 0.1541
2025-01-07 15:40:32,395 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0001 0.1229
2025-01-07 15:40:33,216 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_BreathyGroup_0002 0.1271
2025-01-07 15:40:34,851 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0008 0.2150
2025-01-07 15:40:36,606 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0001 0.0752
2025-01-07 15:40:37,317 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0002 0.1191
2025-01-07 15:40:37,496 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0000 0.0652
2025-01-07 15:40:39,040 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0007 0.0717
2025-01-07 15:40:39,226 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0007 0.1552
2025-01-07 15:40:39,369 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0007 0.1168
2025-01-07 15:40:39,776 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0008 0.1739
2025-01-07 15:40:40,059 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0002 0.0702
2025-01-07 15:40:40,589 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0002 0.1190
2025-01-07 15:40:42,364 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0003 0.1217
2025-01-07 15:40:43,752 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0005 0.1353
2025-01-07 15:40:43,943 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_BreathyGroup_0003 0.2644
2025-01-07 15:40:44,298 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0011 0.1053
2025-01-07 15:40:44,530 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0006 0.1503
2025-01-07 15:40:45,707 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0009 0.1516
2025-01-07 15:40:47,019 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0003 0.0596
2025-01-07 15:40:47,307 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0002 0.1418
