nohup: ignoring input
2025-02-10T18:02:24 (svs.sh:211:main) ./svs.sh --lang zh --local_data_opts --stage 1 --feats_type raw --fs 24000 --fmax 22050 --fmin 0 --n_fft 2048 --n_shift 256 --win_length 2048 --token_type phn --g2p None --cleaner none --train_config conf/tuning/train_visinger2_24k.yaml --inference_config conf/decode.yaml --train_set tr_no_dev --valid_set dev --test_sets dev eval --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --audio_format wav --stage 7 --svs_task gan_svs --pitch_extract dio --feats_extract fbank --feats_normalize none --score_feats_extract syllable_score_feats --inference_model latest.pth --write_collected_feats true
2025-02-10T18:02:25 (svs.sh:912:main) Stage 7: Decoding: training_dir=exp/svs_train_visinger2_24k_raw_phn_None_zh
2025-02-10T18:02:25 (svs.sh:952:main) Generate 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/run.sh'. You can resume the process from stage 7 using this script
2025-02-10T18:02:25 (svs.sh:1009:main) Decoding started... log: 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/dev/log/svs_inference.*.log'
2025-02-10T18:04:20 (svs.sh:1009:main) Decoding started... log: 'exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/eval/log/svs_inference.*.log'
2025-02-10T18:07:33 (svs.sh:1069:main) Stage 8: Scoring
2025-02-10T18:07:33 (svs.sh:1079:main) Begin Scoring for MCD metrics on dev, results are written under exp/svs_train_visinger2_24k_raw_phn_None_zh/decode_latest/dev/MCD_res
2025-02-10 18:08:15,151 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0003 0.2688
2025-02-10 18:08:15,193 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0006 0.1571
2025-02-10 18:08:15,236 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0008 0.2597
2025-02-10 18:08:15,711 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0000 0.1907
2025-02-10 18:08:15,836 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_ControlGroup_0003 0.1189
2025-02-10 18:08:16,047 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0000 0.0858
2025-02-10 18:08:16,765 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_BreathyGroup_0000 0.2972
2025-02-10 18:08:18,401 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0010 0.2491
2025-02-10 18:08:18,788 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0001 0.2132
2025-02-10 18:08:18,911 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0006 0.2585
2025-02-10 18:08:19,239 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0003 0.2256
2025-02-10 18:08:19,922 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0006 0.1200
2025-02-10 18:08:20,052 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0005 0.1364
2025-02-10 18:08:22,028 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0006 0.1489
2025-02-10 18:08:22,591 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0006 0.1066
2025-02-10 18:08:23,626 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0009 0.3334
2025-02-10 18:08:23,951 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0000 0.1494
2025-02-10 18:08:24,196 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0004 0.1342
2025-02-10 18:08:25,687 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0011 0.2080
2025-02-10 18:08:25,958 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_BreathyGroup_0001 0.1379
2025-02-10 18:08:26,460 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0001 0.0873
2025-02-10 18:08:26,916 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0001 0.1232
2025-02-10 18:08:26,938 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0007 0.3749
2025-02-10 18:08:27,633 (evaluate_f0:170) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0007 0.2691
